NPROC,TME
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
10,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
20,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
30,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
40,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
50,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
60,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
70,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
80,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
90,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
100,ERRO
